pokemon,lvl,move
Bulbasaur,1,Tackle
Bulbasaur,1,Growl
Bulbasaur,3,Vine Whip
Bulbasaur,6,Growth
Bulbasaur,9,Leech Seed
Bulbasaur,12,Razor Leaf
Bulbasaur,15,Poison Powder
Bulbasaur,15,Sleep Powder
Bulbasaur,18,Seed Bomb
Bulbasaur,21,Take Down
Bulbasaur,24,Sweet Scent
Bulbasaur,27,Synthesis
Bulbasaur,30,Worry Seed
Bulbasaur,33,Power Whip
Bulbasaur,36,Solar Beam
Ivysaur,1,Tackle
Ivysaur,1,Growl
Ivysaur,1,Vine Whip
Ivysaur,1,Growth
Ivysaur,9,Leech Seed
Ivysaur,12,Razor Leaf
Ivysaur,15,Poison Powder
Ivysaur,15,Sleep Powder
Ivysaur,20,Seed Bomb
Ivysaur,25,Take Down
Ivysaur,30,Sweet Scent
Ivysaur,35,Synthesis
Ivysaur,40,Worry Seed
Ivysaur,45,Power Whip
Ivysaur,50,Solar Beam
Venusaur,1,Petal Dance
Venusaur,1,Tackle
Venusaur,1,Growl
Venusaur,1,Vine Whip
Venusaur,1,Growth
Venusaur,Evo.,Petal Blizzard
Venusaur,9,Leech Seed
Venusaur,12,Razor Leaf
Venusaur,15,Poison Powder
Venusaur,15,Sleep Powder
Venusaur,20,Seed Bomb
Venusaur,25,Take Down
Venusaur,30,Sweet Scent
Venusaur,37,Synthesis
Venusaur,44,Worry Seed
Venusaur,51,Power Whip
Venusaur,58,Solar Beam
Charmander,1,Scratch
Charmander,1,Growl
Charmander,4,Ember
Charmander,8,Smokescreen
Charmander,12,Dragon Breath
Charmander,17,Fire Fang
Charmander,20,Slash
Charmander,24,Flamethrower
Charmander,28,Scary Face
Charmander,32,Fire Spin
Charmander,36,Inferno
Charmander,40,Flare Blitz
Charmeleon,1,Scratch
Charmeleon,1,Growl
Charmeleon,1,Ember
Charmeleon,1,Smokescreen
Charmeleon,12,Dragon Breath
Charmeleon,19,Fire Fang
Charmeleon,24,Slash
Charmeleon,30,Flamethrower
Charmeleon,37,Scary Face
Charmeleon,48,Inferno
Charmeleon,54,Flare Blitz
Charizard,1,Dragon Claw
Charizard,1,Heat Wave
Charizard,1,Scratch
Charizard,1,Growl
Charizard,1,Ember
Charizard,1,Smokescreen
Charizard,Evo.,Air Slash
Charizard,12,Dragon Breath
Charizard,19,Fire Fang
Charizard,24,Slash
Charizard,30,Flamethrower
Charizard,39,Scary Face
Charizard,46,Fire Spin
Charizard,54,Inferno
Charizard,62,Flare Blitz
Squirtle,1,Tackle
Squirtle,1,Tail Whip
Squirtle,3,Water Gun
Squirtle,6,Withdraw
Squirtle,9,Rapid Spin
Squirtle,12,Bite
Squirtle,15,Water Pulse
Squirtle,18,Protect
Squirtle,21,Rain Dance
Squirtle,24,Aqua Tail
Squirtle,27,Shell Smash
Squirtle,30,Iron Defense
Squirtle,33,Hydro Pump
Squirtle,36,Wave Crash
Wartortle,1,Tackle
Wartortle,1,Tail Whip
Wartortle,1,Water Gun
Wartortle,1,Withdraw
Wartortle,9,Rapid Spin
Wartortle,12,Bite
Wartortle,15,Water Pulse
Wartortle,20,Protect
Wartortle,25,Rain Dance
Wartortle,30,Aqua Tail
Wartortle,35,Shell Smash
Wartortle,40,Iron Defense
Wartortle,45,Hydro Pump
Wartortle,50,Wave Crash
Blastoise,1,Tackle
Blastoise,1,Tail Whip
Blastoise,1,Water Gun
Blastoise,1,Withdraw
Blastoise,Evo.,Flash Cannon
Blastoise,9,Rapid Spin
Blastoise,12,Bite
Blastoise,15,Water Pulse
Blastoise,20,Protect
Blastoise,25,Rain Dance
Blastoise,30,Aqua Tail
Blastoise,35,Shell Smash
Blastoise,42,Iron Defense
Blastoise,49,Hydro Pump
Blastoise,56,Wave Crash
Caterpie,1,Tackle
Caterpie,1,String Shot
Caterpie,9,Bug Bite
Metapod,1,Harden
Metapod,Evo.,Harden
Butterfree,1,Gust
Butterfree,1,Harden
Butterfree,1,Tackle
Butterfree,1,String Shot
Butterfree,1,Bug Bite
Butterfree,Evo.,Gust
Butterfree,4,Supersonic
Butterfree,8,Confusion
Butterfree,12,Poison Powder
Butterfree,12,Stun Spore
Butterfree,12,Sleep Powder
Butterfree,16,Psybeam
Butterfree,20,Whirlwind
Butterfree,24,Air Slash
Butterfree,28,Safeguard
Butterfree,32,Bug Buzz
Butterfree,36,Tailwind
Butterfree,40,Rage Powder
Butterfree,44,Quiver Dance
Weedle,1,Poison Sting
Weedle,1,String Shot
Kakuna,1,Harden
Beedrill,1,Fury Attack
Beedrill,12,Fury Attack
Beedrill,16,Focus Energy
Beedrill,20,Twineedle
Beedrill,25,Rage
Beedrill,30,Pin Missile
Beedrill,35,Agility
Pidgey,1,Tackle
Pidgey,5,Sand Attack
Pidgey,9,Gust
Pidgey,13,Quick Attack
Pidgey,17,Whirlwind
Pidgey,21,Twister
Pidgey,25,Feather Dance
Pidgey,29,Agility
Pidgey,33,Wing Attack
Pidgey,37,Roost
Pidgey,41,Tailwind
Pidgey,45,Aerial Ace
Pidgey,49,Air Slash
Pidgey,53,Hurricane
Pidgeotto,1,Tackle
Pidgeotto,1,Sand Attack
Pidgeotto,1,Gust
Pidgeotto,5,Sand Attack
Pidgeotto,9,Gust
Pidgeotto,13,Quick Attack
Pidgeotto,17,Whirlwind
Pidgeotto,22,Twister
Pidgeotto,27,Feather Dance
Pidgeotto,32,Agility
Pidgeotto,37,Wing Attack
Pidgeotto,42,Roost
Pidgeotto,47,Tailwind
Pidgeotto,52,Aerial Ace
Pidgeotto,57,Air Slash
Pidgeotto,62,Hurricane
Pidgeot,1,Hurricane
Pidgeot,1,Tackle
Pidgeot,1,Sand Attack
Pidgeot,1,Gust
Pidgeot,1,Quick Attack
Pidgeot,5,Sand Attack
Pidgeot,9,Gust
Pidgeot,13,Quick Attack
Pidgeot,17,Whirlwind
Pidgeot,22,Twister
Pidgeot,27,Feather Dance
Pidgeot,32,Agility
Pidgeot,38,Wing Attack
Pidgeot,44,Roost
Pidgeot,50,Tailwind
Pidgeot,56,Aerial Ace
Pidgeot,62,Air Slash
Pidgeot,68,Hurricane

# Diogo 77 à 114 (Excluindo megas)
